Volume_mL,Vol_L,Vol_Img_mL,Vol_Img_L,Num_ROIs,IFCB_ID,Lake_ID,Lake,Date
25,0.025,0.858533529,0.000858534,1622,D20181116T194857_IFCB109,UMP_150508_3,UMP,150508
25,0.025,0.972852271,0.000972852,1441,D20181116T203921_IFCB109,UMP_150508_3,UMP,150508
25,0.025,0,0.0032917,5361,D20181116T212345_IFCB109,UMP_150508_3,UMP,150508
25,0.025,1.956414696,0.001956415,9829,D20181211T193952_IFCB109,WHT_150516_1,WHT,150516
25,0.025,0,0.0020311,9563,D20181211T203644_IFCB109,WHT_150516_1,WHT,150516
25,0.025,2.119193163,0.002119193,9146,D20181211T212849_IFCB109,WHT_150516_1,WHT,150516
30,0.03,0,0.0021832,9056,D20181214T180151_IFCB109,WHT_150609_1,WHT,150609
30,0.03,0,0.0021319,9227,D20181214T185934_IFCB109,WHT_150609_1,WHT,150609
30,0.03,1.840004296,0.001840004,9034,D20181214T193955_IFCB109,WHT_150609_1,WHT,150609
30,0.03,3.246813288,0.003246813,4973,D20181217T161625_IFCB109,UMP_150601_3,UMP,150601
30,0.03,3.334189763,0.00333419,4613,D20181217T170141_IFCB109,UMP_150601_3,UMP,150601
30,0.03,3.364931433,0.003364931,4658,D20181217T175831_IFCB109,UMP_150601_3,UMP,150601
30,0.03,3.862133863,0.003862134,3263,D20181217T185727_IFCB109,UMP_150713_1,UMP,150713
30,0.03,3.741460729,0.003741461,3594,D20181217T192417_IFCB109,UMP_150713_1,UMP,150713
30,0.03,3.787084346,0.003787084,3501,D20181217T194944_IFCB109,UMP_150713_1,UMP,150713
30,0.03,2.666952204,0.002666952,5786,D20181220T184031_IFCB109,GHP_150601_3,GHP,150601
30,0.03,0,0.0032587,5471,D20181220T190438_IFCB109,GHP_150601_3,GHP,150601
30,0.03,2.729024838,0.002729025,5874,D20181220T195228_IFCB109,GHP_150601_3,GHP,150601
30,0.03,4.050219871,0.00405022,2667,D20181227T164530_IFCB109,NPN_150501_1,NPN,150501
30,0.03,4.179707671,0.004179708,2298,D20181227T171125_IFCB109,NPN_150501_1,NPN,150501
30,0.03,4.259332238,0.004259332,1994,D20181227T173624_IFCB109,NPN_150501_1,NPN,150501
30,0.03,3.192298558,0.003192299,5177,D20181227T181034_IFCB109,WHT_150501_1,WHT,150501
30,0.03,3.206175829,0.003206176,5168,D20181227T183852_IFCB109,WHT_150501_1,WHT,150501
30,0.03,0,0.0031588,5804,D20181227T190759_IFCB109,WHT_150501_1,WHT,150501
30,0.03,0,0.0035971,4343,D20181227T194017_IFCB109,UMP_150502_1,UMP,150502
30,0.03,3.398846625,0.003398847,4398,D20181227T205038_IFCB109,UMP_150502_1,UMP,150502
30,0.03,3.440791604,0.003440792,4363,D20181227T211508_IFCB109,UMP_150502_1,UMP,150502
30,0.03,3.070737371,0.003070737,5440,D20181228T142610_IFCB109,GHP_150502_3,GHP,150502
30,0.03,0,0.0029104,6632,D20181228T145633_IFCB109,GHP_150502_3,GHP,150502
30,0.03,3.003364808,0.003003365,5603,D20181228T152348_IFCB109,GHP_150502_3,GHP,150502
30,0.03,2.701783492,0.002701783,6665,D20181228T155659_IFCB109,GHP_150508_3,GHP,150508
30,0.03,2.596644775,0.002596645,6901,D20181228T162949_IFCB109,GHP_150508_3,GHP,150508
30,0.03,2.738178513,0.002738179,6714,D20181228T165312_IFCB109,GHP_150508_3,GHP,150508
30,0.03,4.093911442,0.004093911,2483,D20181228T172625_IFCB109,NPN_150507_3,NPN,150507
30,0.03,4.11112085,0.004111121,2536,D20181228T175247_IFCB109,NPN_150507_3,NPN,150507
30,0.03,4.02399035,0.00402399,2606,D20181228T182940_IFCB109,NPN_150507_3,NPN,150507
30,0.03,2.914650175,0.00291465,6237,D20181228T191403_IFCB109,WHT_150507_3,WHT,150507
30,0.03,2.899323275,0.002899323,6361,D20181228T193952_IFCB109,WHT_150507_3,WHT,150507
30,0.03,0,0.0030142,6286,D20181228T200842_IFCB109,WHT_150507_3,WHT,150507
30,0.03,2.349946667,0.002349947,7671,D20181228T203804_IFCB109,GHP_150515_1,GHP,150515
30,0.03,2.441220321,0.00244122,7664,D20181228T210146_IFCB109,GHP_150515_1,GHP,150515
30,0.03,2.407917263,0.002407917,7674,D20181228T212455_IFCB109,GHP_150515_1,GHP,150515
30,0.03,3.382373221,0.003382373,4462,D20181229T182336_IFCB109,UMP_150515_3,UMP,150515
30,0.03,3.316798804,0.003316799,4694,D20181229T185347_IFCB109,UMP_150515_3,UMP,150515
30,0.03,3.347747313,0.003347747,4610,D20181229T191852_IFCB109,UMP_150515_3,UMP,150515
30,0.03,3.587385913,0.003587386,4032,D20181229T194823_IFCB109,UMP_150508_3,UMP,150508
30,0.03,3.368700421,0.0033687,3770,D20181229T203232_IFCB109,UMP_150508_3,UMP,150508
30,0.03,3.559350592,0.003559351,4042,D20181229T205611_IFCB109,UMP_150508_3,UMP,150508
30,0.03,0,0.0038956,3348,D20181231T140710_IFCB109,NPN_150522_1,NPN,150522
30,0.03,4.019567879,0.004019568,2752,D20181231T143916_IFCB109,NPN_150522_1,NPN,150522
30,0.03,3.983138392,0.003983138,2807,D20181231T150242_IFCB109,NPN_150522_1,NPN,150522
30,0.03,4.044225783,0.004044226,2771,D20181231T153932_IFCB109,NPN_150516_1,NPN,150516
30,0.03,3.913836996,0.003913837,3064,D20181231T160246_IFCB109,NPN_150516_1,NPN,150516
30,0.03,3.861913592,0.003861914,3288,D20181231T162857_IFCB109,NPN_150516_1,NPN,150516
30,0.03,0,0.0028696,6768,D20181231T170836_IFCB109,GHP_150521_5,GHP,150521
30,0.03,2.565229638,0.00256523,6848,D20181231T173550_IFCB109,GHP_150521_5,GHP,150521
30,0.03,2.575056658,0.002575057,6815,D20181231T180102_IFCB109,GHP_150521_5,GHP,150521
30,0.03,2.8140375,0.002814038,6303,D20181231T183228_IFCB109,GHP_150601_1,GHP,150601
30,0.03,0,0.003001,6330,D20181231T185956_IFCB109,GHP_150601_1,GHP,150601
30,0.03,2.750041558,0.002750042,6270,D20181231T192715_IFCB109,GHP_150601_1,GHP,150601
30,0.03,4.145796642,0.004145797,2299,D20181231T200137_IFCB109,WHT_150522_1,WHT,150522
30,0.03,4.209116554,0.004209117,2091,D20181231T202602_IFCB109,WHT_150522_1,WHT,150522
30,0.03,4.216531433,0.004216531,2056,D20181231T204916_IFCB109,WHT_150522_1,WHT,150522
30,0.03,3.793055096,0.003793055,3415,D20190102T142244_IFCB109,UMP_150523_1,UMP,150523
30,0.03,0,0.0038869,3377,D20190102T145841_IFCB109,UMP_150523_1,UMP,150523
30,0.03,3.632811008,0.003632811,3891,D20190102T152332_IFCB109,UMP_150523_1,UMP,150523
30,0.03,0,0.0041203,2599,D20190102T155209_IFCB109,NPN_150602_3,NPN,150602
30,0.03,3.965730046,0.00396573,2963,D20190102T161528_IFCB109,NPN_150602_3,NPN,150602
30,0.03,3.927883121,0.003927883,2955,D20190102T164149_IFCB109,NPN_150602_3,NPN,150602
30,0.03,3.156153779,0.003156154,5345,D20190102T171009_IFCB109,GHP_150608_1,GHP,150608
30,0.03,3.168714971,0.003168715,5288,D20190102T175417_IFCB109,GHP_150608_1,GHP,150608
30,0.03,3.175184317,0.003175184,5244,D20190102T181751_IFCB109,GHP_150608_1,GHP,150608
30,0.03,0,0.002908,6640,D20190102T184706_IFCB109,WHT_150602_1,WHT,150602
30,0.03,0,0.0028426,6858,D20190102T191031_IFCB109,WHT_150602_1,WHT,150602
30,0.03,2.684999954,0.002685,6912,D20190102T194942_IFCB109,WHT_150602_1,WHT,150602
30,0.03,3.565874638,0.003565875,3838,D20190102T201924_IFCB109,UMP_150608_1,UMP,150608
30,0.03,0,0.0037162,3946,D20190102T204320_IFCB109,UMP_150608_1,UMP,150608
30,0.03,3.457290354,0.00345729,4044,D20190102T211303_IFCB109,UMP_150608_1,UMP,150608
30,0.03,3.671498129,0.003671498,3801,D20190102T214233_IFCB109,NPN_150609_3,NPN,150609
30,0.03,3.675147904,0.003675148,3772,D20190102T221603_IFCB109,NPN_150609_3,NPN,150609
30,0.03,3.794323913,0.003794324,3491,D20190102T223904_IFCB109,NPN_150609_3,NPN,150609
30,0.03,3.115858525,0.003115859,5163,D20190103T143743_IFCB109,GHP_150615_1,GHP,150615
30,0.03,3.081941496,0.003081941,5445,D20190103T150450_IFCB109,GHP_150615_1,GHP,150615
30,0.03,3.130347792,0.003130348,5226,D20190103T152754_IFCB109,GHP_150615_1,GHP,150615
30,0.03,3.020426592,0.003020427,5071,D20190103T155903_IFCB109,UMP_150616_3,UMP,150616
30,0.03,0,0.0033457,5181,D20190103T162526_IFCB109,UMP_150616_3,UMP,150616
30,0.03,3.054645817,0.003054646,5344,D20190103T165324_IFCB109,UMP_150616_3,UMP,150616
30,0.03,0,0.0042439,2187,D20190103T172507_IFCB109,NPN_150617_1,NPN,150617
30,0.03,4.131852358,0.004131852,2411,D20190103T175242_IFCB109,NPN_150617_2,NPN,150617
30,0.03,4.148968225,0.004148968,2278,D20190103T181733_IFCB109,NPN_150617_3,NPN,150617
30,0.03,1.586105308,0.001586105,9971,D20190103T184919_IFCB109,WHT_150617_1,WHT,150617
30,0.03,1.589709671,0.00158971,10554,D20190103T193217_IFCB109,WHT_150617_1,WHT,150617
30,0.03,0,0.001903,9990,D20190103T200041_IFCB109,WHT_150617_1,WHT,150617
30,0.03,3.325785121,0.003325785,4524,D20190104T144117_IFCB109,GHP_150622_1,GHP,150622
30,0.03,3.533824138,0.003533824,3907,D20190104T151348_IFCB109,GHP_150622_1,GHP,150622
30,0.03,0,0.0038008,3664,D20190104T154758_IFCB109,GHP_150622_1,GHP,150622
30,0.03,3.309503042,0.003309503,5059,D20190104T164703_IFCB109,UMP_150622_5,UMP,150622
30,0.03,3.232503671,0.003232504,5069,D20190104T171248_IFCB109,UMP_150622_5,UMP,150622
30,0.03,3.111920258,0.00311192,5152,D20190104T173852_IFCB109,UMP_150622_5,UMP,150622
30,0.03,3.510073117,0.003510073,4135,D20190104T180844_IFCB109,NPN_150623_1,NPN,150623
30,0.03,3.678563421,0.003678563,3632,D20190104T183321_IFCB109,NPN_150623_1,NPN,150623
30,0.03,0,0.0038914,3362,D20190104T190141_IFCB109,NPN_150623_1,NPN,150623
30,0.03,2.202698988,0.002202699,8140,D20190104T193338_IFCB109,WHT_150623_1,WHT,150623
30,0.03,2.187631604,0.002187632,8247,D20190104T195846_IFCB109,WHT_150623_1,WHT,150623
30,0.03,2.098129667,0.00209813,8319,D20190104T202256_IFCB109,WHT_150623_1,WHT,150623
30,0.03,2.801392675,0.002801393,5764,D20190104T210626_IFCB109,GHP_150629_1,GHP,150629
30,0.03,2.886393908,0.002886394,5439,D20190104T213737_IFCB109,GHP_150629_1,GHP,150629
30,0.03,2.632880167,0.00263288,6210,D20190104T220422_IFCB109,GHP_150629_1,GHP,150629
